2.8399638 key 0 'd' $
0.1027529 key 1 'd' $
1.4728617 mouse 0 1185 676 $
0.0049868 mouse 0 1188 676 $
0.0020215 mouse 0 1192 676 $
0.00299 mouse 0 1195 676 $
0.0019697 mouse 0 1199 676 $
0.0009978 mouse 0 1202 679 $
0.0010214 mouse 0 1206 679 $
0.0009738 mouse 0 1209 679 $
0.0010202 mouse 0 1213 679 $
0.0009976 mouse 0 1216 683 $
0.0009732 mouse 0 1223 683 $
0.0019946 mouse 0 1227 686 $
0.0009974 mouse 0 1234 686 $
0.0 mouse 0 1237 686 $
0.0009973 mouse 0 1248 686 $
0.0009975 mouse 0 1251 690 $
0.0009971 mouse 0 1258 690 $
0.0009978 mouse 0 1265 693 $
0.0009971 mouse 0 1269 693 $
0.0009972 mouse 0 1276 697 $
0.0009973 mouse 0 1283 700 $
0.0009976 mouse 0 1286 700 $
0.0009972 mouse 0 1297 700 $
0.0009965 mouse 0 1300 704 $
0.0009981 mouse 0 1304 704 $
0.0009981 mouse 0 1311 707 $
0.0009968 mouse 0 1318 707 $
0.0009972 mouse 0 1325 714 $
0.0009974 mouse 0 1328 714 $
0.0009973 mouse 0 1335 718 $
0.0009971 mouse 0 1342 718 $
0.0009973 mouse 0 1346 718 $
0.0009974 mouse 0 1353 721 $
0.0009975 mouse 0 1360 725 $
0.0009976 mouse 0 1367 728 $
0.0009975 mouse 0 1374 728 $
0.0009969 mouse 0 1381 732 $
0.0009973 mouse 0 1384 732 $
0.0009974 mouse 0 1391 735 $
0.0009971 mouse 0 1395 735 $
0.0009976 mouse 0 1402 739 $
0.0009968 mouse 0 1409 742 $
0.0009983 mouse 0 1412 742 $
0.0009969 mouse 0 1416 746 $
0.0009976 mouse 0 1423 746 $
0.000997 mouse 0 1426 746 $
0.0009973 mouse 0 1430 746 $
0.0009975 mouse 0 1433 749 $
0.0009972 mouse 0 1440 753 $
0.0009981 mouse 0 1444 756 $
0.0009963 mouse 0 1447 756 $
0.0009977 mouse 0 1451 756 $
0.0009966 mouse 0 1454 760 $
0.0009979 mouse 0 1461 760 $
0.0019947 mouse 0 1465 760 $
0.0009976 mouse 0 1468 763 $
0.0009973 mouse 0 1472 763 $
0.0009977 mouse 0 1475 767 $
0.0009968 mouse 0 1479 767 $
0.0009976 mouse 0 1482 770 $
0.0009971 mouse 0 1486 770 $
0.0009973 mouse 0 1489 774 $
0.000997 mouse 0 1493 774 $
0.0019943 mouse 0 1496 774 $
0.0 mouse 0 1500 774 $
0.0009981 mouse 0 1503 774 $
0.0009967 mouse 0 1507 774 $
0.0009988 mouse 0 1510 777 $
0.0020262 mouse 0 1517 777 $
0.0009647 mouse 0 1517 781 $
0.0009974 mouse 0 1521 784 $
0.0009977 mouse 0 1524 784 $
0.0009971 mouse 0 1528 784 $
0.0009981 mouse 0 1531 788 $
0.0020176 mouse 0 1535 788 $
0.0009744 mouse 0 1538 788 $
0.0009965 mouse 0 1542 788 $
0.0009964 mouse 0 1545 791 $
0.0009981 mouse 0 1549 795 $
0.0009971 mouse 0 1556 795 $
0.0009973 mouse 0 1556 798 $
0.0009995 mouse 0 1559 798 $
0.0009957 mouse 0 1563 798 $
0.0009971 mouse 0 1566 802 $
0.0009973 mouse 0 1570 802 $
0.0009982 mouse 0 1573 802 $
0.001994 mouse 0 1577 805 $
0.0 mouse 0 1584 805 $
0.0009972 mouse 0 1587 809 $
0.0009972 mouse 0 1591 812 $
0.0009973 mouse 0 1594 812 $
0.0009974 mouse 0 1598 816 $
0.0009972 mouse 0 1601 816 $
0.0009974 mouse 0 1608 816 $
0.0009973 mouse 0 1612 819 $
0.0009973 mouse 0 1619 823 $
0.0009974 mouse 0 1622 826 $
0.0009974 mouse 0 1629 830 $
0.0019949 mouse 0 1633 830 $
0.0 mouse 0 1640 833 $
0.0009981 mouse 0 1640 837 $
0.0009966 mouse 0 1647 837 $
0.0009982 mouse 0 1650 840 $
0.0019931 mouse 0 1654 844 $
0.0009972 mouse 0 1661 847 $
0.0009991 mouse 0 1664 851 $
0.0009968 mouse 0 1671 851 $
0.0009977 mouse 0 1675 854 $
0.0010157 mouse 0 1678 858 $
0.0019755 mouse 0 1682 858 $
0.0009973 mouse 0 1689 865 $
0.0010211 mouse 0 1689 868 $
0.0009737 mouse 0 1696 868 $
0.0009976 mouse 0 1703 872 $
0.0 mouse 0 1706 875 $
0.0019982 mouse 0 1710 879 $
0.0 mouse 0 1713 882 $
0.0009939 mouse 0 1717 882 $
0.0009965 mouse 0 1720 886 $
0.0019949 mouse 0 1724 889 $
0.0009973 mouse 0 1731 893 $
0.0 mouse 0 1731 896 $
0.000998 mouse 0 1734 896 $
0.0019939 mouse 0 1738 900 $
0.0010032 mouse 0 1741 900 $
0.0009973 mouse 0 1745 903 $
0.0009974 mouse 0 1748 907 $
0.0009917 mouse 0 1752 910 $
0.0010483 mouse 0 1752 914 $
0.0009469 mouse 0 1755 914 $
0.0020607 mouse 0 1759 914 $
0.0009975 mouse 0 1759 917 $
0.0009309 mouse 0 1762 917 $
0.0010266 mouse 0 1762 921 $
0.0009678 mouse 0 1762 924 $
0.0009967 mouse 0 1766 924 $
0.0019954 mouse 0 1766 928 $
0.0029916 mouse 0 1769 928 $
0.0325541 mouse 0 1773 931 $
0.0019941 mouse 0 1776 931 $
0.0019887 mouse 0 1780 931 $
0.0009036 mouse 0 1780 935 $
0.0021263 mouse 0 1783 938 $
0.0018949 mouse 0 1787 942 $
0.0010031 mouse 0 1790 942 $
0.0009915 mouse 0 1794 942 $
0.0009982 mouse 0 1797 945 $
0.0009968 mouse 0 1801 945 $
0.0009973 mouse 0 1804 952 $
0.0010063 mouse 0 1808 956 $
0.0009886 mouse 0 1811 956 $
0.0009976 mouse 0 1818 956 $
0.000997 mouse 0 1822 959 $
0.0009974 mouse 0 1829 963 $
0.0009974 mouse 0 1832 966 $
0.0009972 mouse 0 1836 970 $
0.0009978 mouse 0 1839 973 $
0.0009975 mouse 0 1846 977 $
0.0009969 mouse 0 1850 980 $
0.0009977 mouse 0 1857 984 $
0.0009968 mouse 0 1864 987 $
0.0009975 mouse 0 1867 991 $
0.0009971 mouse 0 1871 994 $
0.0009975 mouse 0 1874 998 $
0.0009971 mouse 0 1881 1001 $
0.0009983 mouse 0 1885 1005 $
0.0009965 mouse 0 1892 1012 $
0.0009972 mouse 0 1895 1015 $
0.0009974 mouse 0 1902 1019 $
0.0009973 mouse 0 1909 1022 $
0.0009973 mouse 0 1913 1026 $
0.0009977 mouse 0 1920 1033 $
0.0009971 mouse 0 1923 1033 $
0.0009987 mouse 0 1930 1040 $
0.0009959 mouse 0 1937 1043 $
0.0009974 mouse 0 1941 1043 $
0.0009972 mouse 0 1944 1047 $
0.0019949 mouse 0 1955 1057 $
0.0009973 mouse 0 1958 1061 $
0.0009972 mouse 0 1965 1068 $
0.0010233 mouse 0 1969 1071 $
0.0009722 mouse 0 1972 1071 $
0.0009969 mouse 0 1979 1075 $
0.001025 mouse 0 1983 1078 $
0.0009976 mouse 0 1986 1085 $
0.0009694 mouse 0 1993 1085 $
0.000997 mouse 0 1997 1089 $
0.0019949 mouse 0 2004 1096 $
0.001028 mouse 0 2007 1099 $
0.0009665 mouse 0 2011 1099 $
0.0009972 mouse 0 2011 1103 $
0.0009973 mouse 0 2014 1103 $
0.0009975 mouse 0 2014 1106 $
0.0009972 mouse 0 2018 1106 $
0.0009974 mouse 0 2021 1110 $
0.0009976 mouse 0 2025 1113 $
0.0009975 mouse 0 2025 1117 $
0.0019982 mouse 0 2028 1117 $
0.0019945 mouse 0 2032 1117 $
0.0019948 mouse 0 2035 1120 $
0.0069769 mouse 0 2035 1124 $
0.0189496 mouse 0 2039 1124 $
0.0997381 mouse 0 2039 1121 $
0.1866461 mouse 1 2039 1121 Button.left True check $
0.1335409 mouse 1 2039 1121 Button.left False check $
0.397245 mouse 0 2039 1117 $
0.0099491 mouse 0 2036 1117 $
0.0521825 mouse 0 2032 1117 $
0.0190459 mouse 0 2029 1117 $
0.0138633 mouse 0 2025 1117 $
0.0119703 mouse 0 2022 1117 $
0.0050135 mouse 0 2022 1114 $
0.0009689 mouse 0 2018 1114 $
0.0049853 mouse 0 2015 1110 $
0.0059852 mouse 0 2015 1107 $
0.0009973 mouse 0 2011 1107 $
0.0049862 mouse 0 2008 1107 $
0.0019946 mouse 0 2004 1103 $
0.0030955 mouse 0 2001 1100 $
0.001891 mouse 0 2001 1096 $
0.000997 mouse 0 1997 1096 $
0.0019948 mouse 0 1994 1093 $
0.0029935 mouse 0 1990 1093 $
0.0009966 mouse 0 1990 1089 $
0.0009979 mouse 0 1987 1089 $
0.0020235 mouse 0 1983 1086 $
0.0019933 mouse 0 1980 1082 $
0.001968 mouse 0 1976 1079 $
0.0019944 mouse 0 1973 1079 $
0.0009961 mouse 0 1973 1075 $
0.0019944 mouse 0 1969 1075 $
0.0019945 mouse 0 1966 1075 $
0.0019979 mouse 0 1966 1072 $
0.0009968 mouse 0 1962 1072 $
0.0019945 mouse 0 1959 1068 $
0.0019927 mouse 0 1955 1065 $
0.0019949 mouse 0 1952 1065 $
0.0009972 mouse 0 1952 1061 $
0.0009972 mouse 0 1948 1061 $
0.0019947 mouse 0 1945 1061 $
0.0039885 mouse 0 1941 1061 $
0.0009988 mouse 0 1938 1058 $
0.0020208 mouse 0 1938 1054 $
0.002004 mouse 0 1934 1054 $
0.000961 mouse 0 1934 1051 $
0.0020184 mouse 0 1931 1047 $
0.0030659 mouse 0 1927 1047 $
0.0008997 mouse 0 1927 1044 $
0.0020964 mouse 0 1924 1044 $
0.0008948 mouse 0 1924 1040 $
0.0009984 mouse 0 1920 1040 $
0.0019941 mouse 0 1917 1037 $
0.002024 mouse 0 1913 1033 $
0.0009687 mouse 0 1910 1033 $
0.0029917 mouse 0 1906 1033 $
0.0 mouse 0 1903 1033 $
0.0009972 mouse 0 1903 1030 $
0.0009972 mouse 0 1899 1030 $
0.0009986 mouse 0 1896 1030 $
0.0009964 mouse 0 1896 1026 $
0.0009979 mouse 0 1892 1026 $
0.0009968 mouse 0 1889 1023 $
0.002023 mouse 0 1885 1019 $
0.000969 mouse 0 1882 1019 $
0.000998 mouse 0 1878 1019 $
0.0009972 mouse 0 1875 1019 $
0.0009968 mouse 0 1868 1016 $
0.0009983 mouse 0 1864 1016 $
0.000997 mouse 0 1861 1016 $
0.0010043 mouse 0 1857 1012 $
0.0009891 mouse 0 1854 1012 $
0.0009973 mouse 0 1850 1009 $
0.0009971 mouse 0 1847 1009 $
0.0009975 mouse 0 1843 1009 $
0.0009973 mouse 0 1840 1005 $
0.0009976 mouse 0 1836 1005 $
0.000997 mouse 0 1833 1002 $
0.0009972 mouse 0 1829 1002 $
0.0020304 mouse 0 1826 1002 $
0.0009757 mouse 0 1822 998 $
0.0029783 mouse 0 1815 998 $
0.0020003 mouse 0 1812 998 $
0.0019904 mouse 0 1812 995 $
0.0009966 mouse 0 1805 995 $
0.0009967 mouse 0 1801 991 $
0.0019944 mouse 0 1798 991 $
0.0 mouse 0 1798 988 $
0.0020234 mouse 0 1794 988 $
0.0020042 mouse 0 1791 988 $
0.0009884 mouse 0 1787 988 $
0.0 mouse 0 1784 984 $
0.0029644 mouse 0 1780 984 $
0.00202 mouse 0 1780 981 $
0.0009716 mouse 0 1777 981 $
0.0019932 mouse 0 1773 977 $
0.001018 mouse 0 1770 977 $
0.0020426 mouse 0 1766 974 $
0.0029997 mouse 0 1763 970 $
0.0009995 mouse 0 1759 970 $
0.001 mouse 0 1756 970 $
0.0029121 mouse 0 1752 970 $
0.0009967 mouse 0 1752 967 $
0.0010116 mouse 0 1749 967 $
0.001081 mouse 0 1749 963 $
0.0008997 mouse 0 1745 963 $
0.0010295 mouse 0 1742 960 $
0.000996 mouse 0 1738 960 $
0.0020716 mouse 0 1735 956 $
0.0010023 mouse 0 1731 956 $
0.0010002 mouse 0 1728 956 $
0.0009849 mouse 0 1728 953 $
0.000998 mouse 0 1724 953 $
0.0018903 mouse 0 1721 949 $
0.0009973 mouse 0 1717 949 $
0.0009977 mouse 0 1714 946 $
0.0009972 mouse 0 1710 942 $
0.0019948 mouse 0 1707 939 $
0.0009973 mouse 0 1703 939 $
0.0009973 mouse 0 1700 939 $
0.0010022 mouse 0 1696 935 $
0.0009925 mouse 0 1696 932 $
